Chidamber-Kemerer metrics,Sun, 8 Nov 2020 16:38:33 EST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"com.webcheckers.Application",3,1,1,0,25,7
"com.webcheckers.application.AccountManager",8,1,1,0,15,9
"com.webcheckers.application.CreateAccountTest",2,1,1,0,27,8
"com.webcheckers.application.GameLobby",34,1,3,1,44,50
"com.webcheckers.application.GameLobbyTest",8,1,4,0,45,12
"com.webcheckers.application.GameReplay",14,2,1,0,31,8
"com.webcheckers.application.GameReplayManager",13,1,1,0,14,6
"com.webcheckers.application.GameReplayTest",9,1,2,0,37,11
"com.webcheckers.application.PlayerLobby",30,1,1,0,26,14
"com.webcheckers.application.PlayerLobbyTest",3,1,2,0,18,2
"com.webcheckers.application.SaveReplayTest",8,1,4,0,25,4
"com.webcheckers.application.UsernameValidator",5,1,1,0,6,2
"com.webcheckers.application.UsernameValidatorTest",1,1,6,0,10,6
"com.webcheckers.model.BoardView",17,1,1,0,42,25
"com.webcheckers.model.BoardViewTest",4,1,1,0,16,7
"com.webcheckers.model.Move",13,1,1,0,18,14
"com.webcheckers.model.MoveValidator",26,1,1,0,45,38
"com.webcheckers.model.MoveValidatorTest",10,1,2,0,43,27
"com.webcheckers.model.Piece",14,1,2,0,9,9
"com.webcheckers.model.Piece.COLOR",12,n/a,0,n/a,0,0
"com.webcheckers.model.Piece.TYPE",4,n/a,0,n/a,0,0
"com.webcheckers.model.PieceTest",3,1,1,0,12,3
"com.webcheckers.model.Player",32,1,1,0,6,4
"com.webcheckers.model.Position",13,1,1,0,6,6
"com.webcheckers.model.Row",9,1,2,0,22,17
"com.webcheckers.model.Space",8,1,2,0,17,17
"com.webcheckers.model.SpaceTest",4,1,1,0,29,7
"com.webcheckers.ui.ATTRIBUTES",21,n/a,1,n/a,2,2
"com.webcheckers.ui.GetAccountDetailsRoute",8,1,1,0,18,3
"com.webcheckers.ui.GetAccountDetailsRouteTest",1,1,1,0,4,1
"com.webcheckers.ui.GetGameRoute",11,1,1,0,45,14
"com.webcheckers.ui.GetGameRoute.VIEW_MODES",3,n/a,0,n/a,0,0
"com.webcheckers.ui.GetGameRouteTest",7,1,1,0,34,10
"com.webcheckers.ui.GetHomeRoute",21,1,1,0,27,5
"com.webcheckers.ui.GetHomeRouteTest",3,1,1,0,18,4
"com.webcheckers.ui.GetReplayRoute",12,1,1,0,32,6
"com.webcheckers.ui.GetReplayRouteTest",7,1,2,0,17,2
"com.webcheckers.ui.GetSignInRoute",9,1,1,0,18,3
"com.webcheckers.ui.GetSignInRouteTest",5,1,1,0,22,3
"com.webcheckers.ui.GetStopReplayRoute",6,1,1,0,10,1
"com.webcheckers.ui.GetStopReplayRouteTest",6,1,1,0,14,1
"com.webcheckers.ui.PostAccountDetailsRoute",10,1,1,0,31,14
"com.webcheckers.ui.PostAccountDetailsRouteTest",4,1,1,0,7,1
"com.webcheckers.ui.PostBackUpMoveRoute",6,1,1,0,13,3
"com.webcheckers.ui.PostBackUpMoveRouteTest",6,1,1,0,19,2
"com.webcheckers.ui.PostCheckTurnRoute",11,1,1,0,17,4
"com.webcheckers.ui.PostCheckTurnRouteTest",6,1,1,0,19,2
"com.webcheckers.ui.PostReplayNextRoute",8,1,1,0,12,3
"com.webcheckers.ui.PostReplayNextRouteTest",8,1,2,0,23,3
"com.webcheckers.ui.PostReplayPreviousRoute",6,1,1,0,11,2
"com.webcheckers.ui.PostReplayPreviousRouteTest",10,1,2,0,25,3
"com.webcheckers.ui.PostResignGameRoute",7,1,1,0,20,3
"com.webcheckers.ui.PostResignGameRouteTest",6,1,1,0,19,3
"com.webcheckers.ui.PostSignInRoute",11,1,1,0,28,8
"com.webcheckers.ui.PostSignInRouteTest",7,1,1,0,25,6
"com.webcheckers.ui.PostSignOutRoute",6,1,1,0,15,2
"com.webcheckers.ui.PostSignOutRouteTest",4,1,1,0,13,2
"com.webcheckers.ui.PostSubmitTurnRoute",7,1,1,0,27,5
"com.webcheckers.ui.PostSubmitTurnRouteTest",6,1,1,0,23,4
"com.webcheckers.ui.PostValidateMoveRoute",10,1,1,0,27,5
"com.webcheckers.ui.PostValidateMoveRouteTest",9,1,2,0,25,4
"com.webcheckers.ui.TemplateEngineTester",4,1,1,0,14,7
"com.webcheckers.ui.URLS",10,n/a,1,n/a,2,2
"com.webcheckers.ui.VIEWS",7,n/a,1,n/a,2,2
"com.webcheckers.ui.WebServer",21,1,1,0,26,4
"com.webcheckers.ui.WebServerTest",3,1,1,0,9,3
"com.webcheckers.util.Message",5,1,3,0,11,7
"com.webcheckers.util.Message.Type",1,n/a,0,n/a,0,0

